str_id, str_name, str_suffix, str_city, str_soundex, str_status, str_rsvd, str_subdiv, str_juris
"6984","AKSARBEN","DR","WINDSOR","A261","P","0","260","4"
"5754","ALABAMA","ST","LOVELAND","A415","E","1","49","2"
"5980","ALABASTER","CT","FORT COLLINS","A412","E","0","0","1"
"5287","ALABASTER","WAY","JOHNSTOWN","A412","E","0","0","6"
"6983","ALADAR","DR","WINDSOR","A436","P","0","260","4"
"143","ALAMEDA","ST","FORT COLLINS","A453","E","0","0","1"
"144","ALAMO","AVE","FORT COLLINS","A450","E","0","0","1"
"145","ALAMOSA","CT","LOVELAND","A452","E","0","0","2"
"146","ALAN","ST","FORT COLLINS","A450","E","0","0","1"
"8166","ALASKA","","JOHNSTOWN","A420","P","0","0","6"
"9366","ALASKAN MALAMUTE","CT","LOVELAND","A425","P","1","559","2"
"7037","ALBACORE","CT","WINDSOR","A412","E","0","118","4"
"147","ALBANY","AVE","LOVELAND","A415","E","0","0","2"
"148","ALBANY","CT","LOVELAND","A415","E","0","0","2"
"7786","ALBANY CIR","","LIVERMORE","A415","E","0","248","3"
"11457","ALBERTA FALLS","DR","WINDSOR","A416","P","0","1029","4"
"8710","ALBERTSON","","FORT COLLINS","A416","P","1","0","1"
"149","ALBION","WAY","FORT COLLINS","A415","E","0","0","1"
"8715","ALBITE","PL","LOVELAND","A413","P","1","396","2"
"150","ALBRANDT","CT","WELLINGTON","A416","E","0","0","9"
"151","ALCOTT","ST","FORT COLLINS","A423","E","0","0","1"
"7197","ALDEN","DR","LOVELAND","A435","P","1","90","2"
"152","ALDER","CT","LOVELAND","A436","E","0","0","2"
"153","ALDER","CT","FORT COLLINS","A436","E","0","0","1"
"7373","ALDER CREEK","LN","WELLINGTON","A436","P","0","187","9"
"7639","ALDER MEADOWS","","WINDSOR","A436","P","0","214","4"
"7903","ALDRIDGE","RD","WELLINGTON","A436","P","0","277","3"
"11237","ALDRIN","DR","LOVELAND","A436","E","0","0","2"
"154","ALENE","CR","FORT COLLINS","A450","E","0","0","1"
"9336","ALEUT","DR","WINDSOR","A430","P","0","511","4"
"10676","ALEUTIAN","DR","FORT COLLINS","A435","E","0","945","1"
"7674","ALEX ","PL","WELLINGTON","A420","E","0","220","3"
"155","ALEXA","CT","FORT COLLINS","A420","E","0","0","1"
"156","ALEXA","WAY","FORT COLLINS","A420","E","0","0","1"
"157","ALEXANDER","CT","FORT COLLINS","A425","E","0","0","1"
"6686","ALEXANDER","DR","WINDSOR","A425","E","0","0","4"
"158","ALEXANDRIA","DR","LOVELAND","A425","E","0","0","2"
"159","ALEXANDRIA","CT","LOVELAND","A425","E","0","0","2"
"160","ALEXIS","ST","LOVELAND","A422","E","0","0","2"
"6648","ALFALFA","WAY","LOVELAND","A414","E","0","55","3"
"161","ALFORD","ST","FORT COLLINS","A416","E","0","0","1"
"162","ALGONKIN","CT","RED FEATHER LAKES","A425","E","0","0","3"
"9511","ALGONQUIN","DR","LYONS","A425","E","0","0","3"
"164","ALICE","CT","FORT COLLINS","A420","E","0","0","1"
"9009","ALISTER","LN","TIMNATH","A423","E","1","382","8"
"165","ALLEGHENY","CT","RED FEATHER LAKES","A425","E","0","0","3"
"166","ALLEN","CT","LIVERMORE","A450","E","0","0","3"
"167","ALLEN","DR","LOVELAND","A450","E","0","0","2"
"168","ALLEN","ST","FORT COLLINS","A450","E","0","0","1"
"5545","ALLEN","","JOHNSTOWN","A450","P","1","0","6"
"8052","ALLENBROOK","DR","WINDSOR","A451","P","0","207","4"
"169","ALLISON","DR","LOVELAND","A425","E","0","0","2"
"10511","ALLIUM","CT","BERTHOUD","A450","P","0","921","7"
"170","ALLOTT","AVE","FORT COLLINS","A430","E","0","0","1"
"10753","ALLUVIAL","DR","WINDSOR","A414","P","1","955","4"
"5755","ALMA","PL","LOVELAND","A450","P","0","26","2"
"8041","ALMONT","ST","LOVELAND","A455","P","0","311","2"
"171","ALPACA","TR","BELLVUE","A412","E","0","0","3"
"11212","ALPACA FARM","WAY","ESTES PARK","A412","E","0","0","3"
"172","ALPERT","AVE","FORT COLLINS","A416","E","0","0","1"
"173","ALPERT","CT","FORT COLLINS","A416","E","0","0","1"
"174","ALPINE","CT","RED FEATHER LAKES","A415","E","0","0","3"
"175","ALPINE","DR","ESTES PARK","A415","E","0","0","5"
"176","ALPINE","LN","RED FEATHER LAKES","A415","E","0","0","3"
"177","ALPINE","PL","LOVELAND","A415","E","0","0","2"
"5981","ALPINE","ST","FORT COLLINS","A415","E","0","0","1"
"6852","ALPINE","CT","WINDSOR","A415","E","0","0","4"
"178","ALPINE MEADOWS","CT","LOVELAND","A415","E","0","0","2"
"8073","ALPS RANCH","RD","LOVELAND","A412","R","0","312","3"
"179","ALTA","CT","LOVELAND","A430","E","0","0","2"
"180","ALTA VISTA","ST","FORT COLLINS","A430","E","0","0","1"
"10769","ALTBIER","ST","FORT COLLINS","A431","E","0","953","1"
"7688","ALTURAS ","PL","LOVELAND","A436","E","0","224","3"
"181","ALUMBAUGH","CT","FORT COLLINS","A451","E","0","0","1"
"10833","ALUR","DR","WINDSOR","A460","P","1","967","4"
"5982","ALVARADO","DR","FORT COLLINS","A416","E","0","0","1"
"7892","ALYBAR","DR","WELLINGTON","A416","P","0","272","9"
"182","ALYSON","DR","FORT COLLINS","A425","E","0","0","1"
"5288","ALYSSE","CT","JOHNSTOWN","A420","E","0","0","6"
"9337","AMAGANSETT","DR","WINDSOR","A525","P","0","511","4"
"183","AMANDA","CT","LOVELAND","A553","E","0","0","2"
"5546","AMARANTH","","JOHNSTOWN","A565","P","1","0","6"
"184","AMBER","CT","LOVELAND","A516","E","0","0","2"
"185","AMBER","DR","LOVELAND","A516","E","0","0","2"
"186","AMBER","CT","FORT COLLINS","A516","E","0","0","1"
