latitude,longitude
40.547301,-105.065062
40.547301,-105.065062
40.547301,-105.065062
40.576976,-105.123823
40.547301,-105.065062
40.58273,-105.005542
40.592869,-105.10205
40.592869,-105.10205
40.588341,-105.076154
40.588341,-105.076154
40.592869,-105.10205
40.580975,-105.075463
40.587791,-105.147995
40.580975,-105.075463
40.580975,-105.075463
40.580975,-105.075463
40.574219,-105.062212
40.572694,-105.045319
40.572694,-105.045319
40.547301,-105.065062
40.547301,-105.065062
40.547301,-105.065062
40.58273,-105.005542
40.58273,-105.005542
40.58273,-105.005542
40.545615,-105.076842
40.523903,-105.072221
40.523903,-105.072221
40.52595,-105.065524
40.52595,-105.065524
40.524143,-105.066006
40.524143,-105.066006
40.500995,-105.058423
40.500995,-105.058423
40.496339,-105.060587
40.496339,-105.060587
40.523084,-105.052318
40.523084,-105.052318
40.588288,-105.078931
40.588288,-105.078931
40.587197,-105.078776
40.587197,-105.078776
40.587025,-105.080092
40.587025,-105.080092
40.521061,-105.040636
40.584928,-105.077159
40.517772,-105.009368
40.517783,-105.009354
40.581789,-105.075023
40.581789,-105.075023
40.557245,-105.03089
40.557245,-105.03089
40.563847,-105.077984
40.564238,-105.077999
40.564238,-105.077999
40.564238,-105.077999
40.517772,-105.009368
40.521486,-105.040599
40.574219,-105.062212
40.523084,-105.052318
40.522942,-105.03986
40.544496,-105.036873
40.546004,-105.076912
40.539506,-105.095
40.539506,-105.095
40.534738,-105.09539
40.534738,-105.09539
40.534738,-105.09539
40.539656,-105.108309
40.539656,-105.108309
40.539781,-105.115342
40.539781,-105.115342
40.538106,-105.120185
40.538106,-105.120185
40.538106,-105.120185
40.553454,-105.119355
40.575107,-105.133624
40.575107,-105.133624
40.575107,-105.133624
40.579019,-105.102672
40.579995,-105.085945
40.579995,-105.085945
40.579995,-105.085945
40.580844,-105.084986
40.580844,-105.084986
40.580844,-105.084986
40.579019,-105.102672
40.585704,-105.099422
40.585704,-105.099422
40.585641,-105.099556
40.585641,-105.099556
40.585641,-105.099556
40.578604,-105.108024
40.579019,-105.102672
40.578604,-105.108024
40.575386,-105.110675
40.584197,-105.086919
40.575474,-105.119432
40.575474,-105.119432
40.578998,-105.102736
40.576985,-105.123746
40.576985,-105.123746
40.576985,-105.123746
40.576985,-105.123746
40.578998,-105.102736
40.578604,-105.108024
40.571048,-105.130885
40.571048,-105.130885
40.571048,-105.130885
40.578604,-105.108024
40.567928,-105.11258
40.567928,-105.11258
40.578604,-105.108024
40.56908,-105.103603
40.56908,-105.103603
40.578604,-105.108024
40.571103,-105.105082
40.571103,-105.105082
40.578604,-105.108024
