Date,Year,Month,Scooter Trips,Bike Trips,Normal Price,College Price
3/5/2022,2022,3,343,27,0.3,0.3
3/6/2022,2022,3,159,15,0.3,0.3
3/7/2022,2022,3,310,19,0.3,0.3
3/8/2022,2022,3,338,24,0.3,0.3
3/9/2022,2022,3,70,5,0.3,0.3
3/10/2022,2022,3,155,9,0.3,0.3
3/11/2022,2022,3,230,6,0.3,0.3
3/12/2022,2022,3,312,21,0.3,0.3
3/13/2022,2022,3,278,27,0.3,0.3
3/14/2022,2022,3,308,30,0.3,0.3
3/15/2022,2022,3,444,55,0.3,0.3
3/16/2022,2022,3,263,43,0.3,0.3
3/17/2022,2022,3,226,29,0.3,0.3
3/18/2022,2022,3,338,19,0.3,0.3
3/19/2022,2022,3,623,19,0.3,0.3
3/20/2022,2022,3,441,32,0.3,0.3
3/21/2022,2022,3,352,9,0.3,0.3
3/22/2022,2022,3,354,7,0.3,0.3
3/23/2022,2022,3,491,17,0.3,0.3
3/24/2022,2022,3,619,27,0.3,0.3
3/25/2022,2022,3,628,47,0.3,0.3
3/26/2022,2022,3,794,66,0.3,0.3
3/27/2022,2022,3,526,28,0.3,0.3
3/28/2022,2022,3,477,39,0.3,0.3
3/29/2022,2022,3,331,23,0.3,0.3
3/30/2022,2022,3,449,37,0.3,0.3
3/31/2022,2022,3,510,35,0.3,0.3
4/1/2022,2022,4,695,32,0.3,0.3
4/2/2022,2022,4,808,81,0.3,0.3
4/3/2022,2022,4,534,42,0.3,0.3
4/4/2022,2022,4,509,26,0.3,0.3
4/5/2022,2022,4,430,23,0.3,0.3
4/6/2022,2022,4,442,20,0.3,0.3
4/7/2022,2022,4,288,56,0.3,0.3
4/8/2022,2022,4,623,68,0.3,0.3
4/9/2022,2022,4,825,95,0.3,0.3
4/10/2022,2022,4,288,25,0.3,0.3
4/11/2022,2022,4,486,38,0.3,0.3
4/12/2022,2022,4,333,33,0.3,0.3
4/13/2022,2022,4,386,20,0.3,0.3
4/14/2022,2022,4,510,62,0.3,0.3
4/15/2022,2022,4,572,64,0.3,0.3
4/16/2022,2022,4,587,97,0.3,0.3
4/17/2022,2022,4,363,64,0.3,0.3
4/18/2022,2022,4,426,51,0.3,0.3
4/19/2022,2022,4,530,66,0.3,0.3
4/20/2022,2022,4,588,64,0.3,0.3
4/21/2022,2022,4,599,59,0.3,0.3
4/22/2022,2022,4,837,112,0.3,0.3
